model,task,start_time,window_name,elapsed_time,gpu0_energy,num_in_tokens,num_out_tokens,first_token_time,finished_time,mns,max_tokens,n_samples,energy_per_token,time_per_token_ms,token_per_second
deepseek-coder-6.7b-instruct,humaneval,1753103933.6646676,batch_0_mns64_max-toks512_n100,25.352296352386475,6147.5410000011325,13500,51200,0.7236902713775635,25.351909399032596,64,512,100,0.12006916015627211,0.4951544804498554,2019.5409239597507
deepseek-coder-6.7b-instruct,humaneval,1753103981.6899595,batch_0_mns32_max-toks512_n100,39.09132933616638,9399.479999996722,13500,51200,0.4346017837524414,39.090962409973145,32,512,100,0.18358359374993596,0.763495359569788,1309.7533614092515
deepseek-coder-6.7b-instruct,humaneval,1753104043.47553,batch_0_mns128_max-toks128_n64,3.5359110832214355,810.7540000006557,8640,8192,0.7187783718109131,3.535596370697021,128,128,64,0.09896899414070504,0.4315913538448512,2316.800340051701
deepseek-coder-6.7b-instruct,humaneval,1753104069.6281743,batch_0_mns64_max-toks128_n64,3.519855737686157,812.2129999995232,8640,8192,0.717562198638916,3.5195746421813965,64,128,64,0.09914709472650429,0.42963557643815875,2327.3681112241165
deepseek-coder-6.7b-instruct,humaneval,1753104095.7644897,batch_0_mns32_max-toks128_n64,5.191819429397583,1171.1160000041127,8640,8192,0.4077534675598144,5.191614866256714,32,128,64,0.14295849609425204,0.6337420491036028,1577.8668945253617
deepseek-coder-6.7b-instruct,humaneval,1753104123.9073117,batch_0_mns128_max-toks256_n64,6.682916641235352,1575.2820000052452,8640,16384,0.6927320957183838,6.682566404342651,128,256,64,0.09614758300813264,0.4078714846400544,2451.6241754246066
deepseek-coder-6.7b-instruct,humaneval,1753104153.544391,batch_0_mns64_max-toks256_n64,6.695975303649902,1588.9439999982717,8640,16384,0.7033674716949463,6.695705890655518,64,256,64,0.09698144531239451,0.40867345524020493,2446.8429552106118
deepseek-coder-6.7b-instruct,humaneval,1753104183.2115307,batch_0_mns32_max-toks256_n64,10.444498300552368,2372.7700000032783,8640,16384,0.3946437835693359,10.444141626358032,32,256,64,0.1448223876955126,0.6374598160618916,1568.6727623033378
deepseek-coder-6.7b-instruct,humaneval,1753104216.2884731,batch_0_mns128_max-toks512_n64,14.418306827545166,3430.11400000006,8640,32768,0.7090208530426025,14.4179368019104,128,512,64,0.10467877197265808,0.4400005127536133,2272.666297917799
deepseek-coder-6.7b-instruct,humaneval,1753104253.369119,batch_0_mns64_max-toks512_n64,14.454720735549929,3457.223999999464,8640,32768,0.7120401859283447,14.454310894012451,64,512,64,0.10550610351560864,0.4411105619510636,2266.9410637184023
deepseek-coder-6.7b-instruct,humaneval,1753104290.560335,batch_0_mns32_max-toks512_n64,21.41003799438477,5086.670999996364,8640,32768,0.3954269886016845,21.409685373306274,32,512,64,0.15523287963856092,0.653371746011544,1530.4970504299943
deepseek-coder-6.7b-instruct,humaneval,1753104334.7711987,batch_0_mns128_max-toks128_n50,3.1246907711029053,702.1089999973774,6750,6400,0.5596292018890381,3.124487400054932,128,128,50,0.10970453124959022,0.4882011562585831,2048.2026763054787
deepseek-coder-6.7b-instruct,humaneval,1753104360.5026004,batch_0_mns64_max-toks128_n50,3.13125991821289,705.4370000064373,6750,6400,0.5610401630401611,3.131024122238159,64,128,50,0.11022453125100583,0.4892225190997124,2043.9057015914168
deepseek-coder-6.7b-instruct,humaneval,1753104386.271461,batch_0_mns32_max-toks128_n50,4.795443773269653,1078.9949999973178,6750,6400,0.3973786830902099,4.7951977252960205,32,128,50,0.1685929687495809,0.7492496445775032,1334.6001543536647
deepseek-coder-6.7b-instruct,humaneval,1753104413.9516163,batch_0_mns128_max-toks256_n50,6.016969442367554,1405.289999999106,6750,12800,0.5673034191131592,6.016684055328369,128,256,50,0.10978828124993015,0.47005344182252884,2127.316770112009
deepseek-coder-6.7b-instruct,humaneval,1753104442.6298947,batch_0_mns64_max-toks256_n50,6.02457594871521,1422.621000006795,6750,12800,0.5354723930358887,6.024320363998413,64,256,50,0.11114226562553085,0.470650028437376,2124.6308634767406
deepseek-coder-6.7b-instruct,humaneval,1753104471.3150282,batch_0_mns32_max-toks256_n50,9.391005754470823,2184.9369999989867,6750,12800,0.4055018424987793,9.39071774482727,32,256,50,0.17069820312492084,0.7336498238146305,1363.0062992886826
deepseek-coder-6.7b-instruct,humaneval,1753104503.4920704,batch_0_mns128_max-toks512_n50,13.0724196434021,3053.884999997914,6750,25600,0.557220458984375,13.072160243988035,128,512,50,0.11929238281241851,0.5106312595307826,1958.3214659820694
deepseek-coder-6.7b-instruct,humaneval,1753104539.290692,batch_0_mns64_max-toks512_n50,12.825588941574097,3063.332999996841,6750,25600,0.5676450729370117,12.825210094451904,64,512,50,0.1196614453123766,0.5009847693145275,1996.0097050216307
deepseek-coder-6.7b-instruct,humaneval,1753104574.7235985,batch_0_mns32_max-toks512_n50,19.50272250175476,4685.472999997437,6750,25600,0.4077274799346924,19.50238943099976,32,512,50,0.18302628906239987,0.7618120871484281,1312.637248348103
